artist,title,year,decade,style,language,spotify_uri,spotify_popularity,year_source,needs_year_review
Fugees,Killing Me Softly With His Song,1996,1990s,Curated,international,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,,curated,no
Spice Girls,Wannabe,1996,1990s,Curated,international,spotify:track:68DUL7LbMhXzOzq97F5XhJ,,curated,no
Ákos,Ilyenek voltunk,1997,1990s,Curated,hu,spotify:track:0zXM6EcCxrG53GXcEhV3W4,,curated,no
Aqua,Barbie Girl,1997,1990s,Curated,international,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,,curated,no
Backstreet Boys,Everybody (Backstreet's Back),1997,1990s,Curated,international,spotify:track:1di1BEgJYzPvXUuinsYJGP,,curated,no
Carpe Diem,Álomhajó,1997,1990s,Curated,hu,spotify:track:7wHSEadJSf3QunWb8KHiZB,,curated,no
TNT,Titkos üzenet,1997,1990s,Curated,hu,spotify:track:5OdmRZPg8cCOJE6j3wm87X,,curated,no
Britney Spears,...Baby One More Time,1998,1990s,Curated,international,spotify:track:52SrRaRC2SlJ2dno1flkg2,,curated,no
Cher,Believe,1998,1990s,Curated,international,spotify:track:6MiNZJ178L6ypTnBt2G4BJ,,curated,no
Soho Party,Az Éjjel Soha Nem Ér Véget,1998,1990s,Curated,hu,spotify:track:4pIYWr7uEI7hnU1DfLm1kN,,curated,no
Lou Bega,Mambo No. 5 (A Little Bit of...),1999,1990s,Curated,international,spotify:track:6x4tKaOzfNJpEJHySoiJcs,,curated,no
Tankcsapda,Mennyország Tourist,1999,1990s,Curated,hu,spotify:track:1B05KTWr9SkdVukhRcPJ8v,,curated,no
United,Hófehér Jaguár,1999,1990s,Curated,hu,spotify:track:7ecbLhFYYhF37kqC90CMiq,,curated,no
Eminem,The Real Slim Shady,2000,2000s,Curated,international,spotify:track:3yfqSUWxFvZELEM4PmlwIR,,curated,no
Groovehouse,Hajnal,2001,2000s,Curated,hu,spotify:track:6QW0SwU35pdcDAJvdd9v5H,,curated,no
Kylie Minogue,Can't Get You Out of My Head,2001,2000s,Curated,international,spotify:track:3RYgABHAjXGMkiDIHQiwDQ,,curated,no
Shakira,"Whenever, Wherever",2001,2000s,Curated,international,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,,curated,no
TNT,Kicsi gesztenye,2001,2000s,Curated,hu,spotify:track:1vLu84QthW6HXfG1FfgKCX,,curated,no
Britney Spears,Toxic,2003,2000s,Curated,international,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,,curated,no
Hooligans,Királylány,2003,2000s,Curated,hu,spotify:track:2Nud4rJiFIdg8Nq5PjPo5N,,curated,no
NOX,Százszor ölelj még,2003,2000s,Curated,hu,spotify:track:6tHznUs6vQzX9mk393YNoK,,curated,no
Outkast,Hey Ya!,2003,2000s,Curated,international,spotify:track:3AszgPDZd9q0DpDFt4HFBy,,curated,no
The White Stripes,Seven Nation Army,2003,2000s,Curated,international,spotify:track:3dPQuX8Gs42Y7b454ybpMR,,curated,no
Green Day,American Idiot,2004,2000s,Curated,international,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,,curated,no
Quimby,Most múlik pontosan,2005,2000s,Curated,hu,spotify:track:0ooiafVrlNqnKR5GQea4Ng,,curated,no
Gnarls Barkley,Crazy,2006,2000s,Curated,international,spotify:track:6FlAGda9qkDhTU7ctFM4uG,,curated,no
Rihanna,Umbrella,2007,2000s,Curated,international,spotify:track:49FYlytm3dAAraYgpoJZux,,curated,no
Coldplay,Viva la Vida,2008,2000s,Curated,international,spotify:track:6WrUT7FOAlDscRWU7ndmyd,,curated,no
Lady Gaga,Poker Face,2008,2000s,Curated,international,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,,curated,no
Magna Cum Laude,Pálinka dal,2009,2000s,Curated,hu,spotify:track:1scWEPQSiXdIInQMKlXNjk,,curated,no
The Black Eyed Peas,I Gotta Feeling,2009,2000s,Curated,international,spotify:track:2H1047e0oMSj10dgp7p2VG,,curated,no
Adele,Rolling in the Deep,2010,2010s,Curated,international,spotify:track:4OSBTYWVwsQhGLF9NHvIbR,,curated,no
Fluor,Mizu,2010,2010s,Curated,hu,spotify:track:2woZDcgHTSK51f3UKuTGFj,,curated,no
Carly Rae Jepsen,Call Me Maybe,2011,2010s,Curated,international,spotify:track:20I6sIOMTCkB6w7ryavxtO,,curated,no
Gotye feat. Kimbra,Somebody That I Used to Know,2011,2010s,Curated,international,spotify:track:1qDrWA6lyx8cLECdZE7TV7,,curated,no
Punnany Massif,Élvezd,2011,2010s,Curated,hu,spotify:track:4k1ysf9Jx5zmmubqGp5pD3,,curated,no
"Majka, Curtis, BLR",Belehalok,2012,2010s,Curated,hu,spotify:track:1bnvChZ7MDWYgvPI7VVax9,,curated,no
Avicii,Wake Me Up,2013,2010s,Curated,international,spotify:track:0nrRP2bk19rLc0orkWPQk2,,curated,no
Mark Ronson feat. Bruno Mars,Uptown Funk,2014,2010s,Curated,international,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,,curated,no
Taylor Swift,Shake It Off,2014,2010s,Curated,international,spotify:track:0cqRj7pUJDkTCEsJkx8snD,,curated,no
Wellhello,Apuveddmeg,2014,2010s,Curated,hu,spotify:track:6gxVNgtJX6Hg7nBWcquMEW,,curated,no
Halott Pénz,Darabokra törted a szívem,2016,2010s,Curated,hu,spotify:track:6OrEcJ6PZCeaRaDeJYBz6q,,curated,no
Ed Sheeran,Shape of You,2017,2010s,Curated,international,spotify:track:7qiZfU4dY1lWllzX7mPBI3,,curated,no
Luis Fonsi feat. Daddy Yankee,Despacito,2017,2010s,Curated,international,spotify:track:5AgTL2WmiCvoObA8fpncKs,,curated,no
Bagossy Brothers Company,Olyan Ő,2019,2010s,Curated,hu,spotify:track:0iddCWjFnIc2pENyQWIIn2,,curated,no
Billie Eilish,bad guy,2019,2010s,Curated,international,spotify:track:2Fxmhks0bxGSBdJ92vM42m,,curated,no
The Weeknd,Blinding Lights,2019,2010s,Curated,international,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,,curated,no
"Azahriah, DESH",Mind1,2021,2020s,Curated,hu,spotify:track:7lemjnVRAqQtqqLdSqCKqM,,curated,no
Azahriah,3korty,2023,2020s,Curated,hu,spotify:track:5ZY255MSISgMrvHmRZux1E,,curated,no
Miley Cyrus,Flowers,2023,2020s,Curated,international,spotify:track:7DSAEUvxU8FajXtRloy8M0,,curated,no
Sabrina Carpenter,Espresso,2024,2020s,Curated,international,spotify:track:2LU2CYKUZUc1iAErxJb1dK,,curated,no
